INFO train_timer.py(138): it: 100/160000, lr: 0.000016, loss: 24.3225, eta: 17:00:38, time: 37.9151
INFO train_timer.py(138): it: 200/160000, lr: 0.000025, loss: 21.1246, eta: 11:56:39, time: 15.6318
INFO train_timer.py(138): it: 300/160000, lr: 0.000040, loss: 20.1821, eta: 10:24:12, time: 16.5732
INFO train_timer.py(138): it: 400/160000, lr: 0.000063, loss: 18.5048, eta: 9:32:33, time: 15.7630
INFO train_timer.py(138): it: 500/160000, lr: 0.000100, loss: 17.7398, eta: 9:06:20, time: 16.6708
INFO train_timer.py(138): it: 600/160000, lr: 0.000158, loss: 16.6732, eta: 8:44:54, time: 15.7956
INFO train_timer.py(138): it: 700/160000, lr: 0.000250, loss: 16.4635, eta: 8:32:44, time: 16.6435
INFO train_timer.py(138): it: 800/160000, lr: 0.000396, loss: 16.0662, eta: 8:20:39, time: 15.7686
INFO train_timer.py(138): it: 900/160000, lr: 0.000628, loss: 16.4296, eta: 8:14:13, time: 16.7933
INFO train_timer.py(138): it: 1000/160000, lr: 0.000995, loss: 16.5322, eta: 8:06:16, time: 15.7600
INFO optimizer.py(75): ==> warmup done, start to implement poly lr strategy
INFO train_timer.py(138): it: 1100/160000, lr: 0.000999, loss: 15.9760, eta: 8:02:26, time: 16.8835
INFO train_timer.py(138): it: 1200/160000, lr: 0.000999, loss: 16.0262, eta: 7:56:57, time: 15.8744
INFO train_timer.py(138): it: 1300/160000, lr: 0.000998, loss: 15.4294, eta: 7:54:11, time: 16.8060
INFO train_timer.py(138): it: 1400/160000, lr: 0.000998, loss: 15.1563, eta: 7:49:28, time: 15.5955
INFO train_timer.py(138): it: 1500/160000, lr: 0.000997, loss: 14.8379, eta: 7:47:11, time: 16.6311
INFO train_timer.py(138): it: 1600/160000, lr: 0.000997, loss: 14.6326, eta: 7:43:35, time: 15.6796
INFO train_timer.py(138): it: 1700/160000, lr: 0.000996, loss: 14.2397, eta: 7:41:34, time: 16.4493
INFO train_timer.py(138): it: 1800/160000, lr: 0.000995, loss: 14.3836, eta: 7:38:17, time: 15.4528
INFO train_timer.py(138): it: 1900/160000, lr: 0.000995, loss: 14.3387, eta: 7:36:33, time: 16.3483
INFO train_timer.py(138): it: 2000/160000, lr: 0.000994, loss: 14.0657, eta: 7:33:48, time: 15.4585
INFO train_timer.py(138): it: 2100/160000, lr: 0.000994, loss: 14.0383, eta: 7:32:44, time: 16.6022
INFO train_timer.py(138): it: 2200/160000, lr: 0.000993, loss: 13.7000, eta: 7:30:25, time: 15.5155
INFO train_timer.py(138): it: 2300/160000, lr: 0.000993, loss: 13.4836, eta: 7:29:10, time: 16.2726
INFO train_timer.py(138): it: 2400/160000, lr: 0.000992, loss: 13.9399, eta: 7:27:21, time: 15.6989
INFO train_timer.py(138): it: 2500/160000, lr: 0.000992, loss: 13.6087, eta: 7:26:42, time: 16.6734
INFO train_timer.py(138): it: 2600/160000, lr: 0.000991, loss: 14.0980, eta: 7:24:42, time: 15.3220
INFO train_timer.py(138): it: 2700/160000, lr: 0.000990, loss: 14.2848, eta: 7:23:57, time: 16.4695
INFO train_timer.py(138): it: 2800/160000, lr: 0.000990, loss: 13.1810, eta: 7:23:39, time: 16.9160
INFO train_timer.py(138): it: 2900/160000, lr: 0.000989, loss: 12.8459, eta: 7:24:07, time: 17.7637
INFO train_timer.py(138): it: 3000/160000, lr: 0.000989, loss: 13.2048, eta: 7:23:21, time: 16.4042
INFO train_timer.py(138): it: 3100/160000, lr: 0.000988, loss: 13.7326, eta: 7:22:46, time: 16.5903
INFO train_timer.py(138): it: 3200/160000, lr: 0.000988, loss: 12.9933, eta: 7:21:16, time: 15.4420
INFO train_timer.py(138): it: 3300/160000, lr: 0.000987, loss: 12.8812, eta: 7:21:35, time: 17.6423
INFO train_timer.py(138): it: 3400/160000, lr: 0.000986, loss: 13.2768, eta: 7:23:02, time: 19.1682
INFO train_timer.py(138): it: 3500/160000, lr: 0.000986, loss: 13.0696, eta: 7:22:14, time: 16.2673
